master_id,area_code,area,subarea,artifact_type,artifact_group,artifact_order,origin,title,content,evidence_level,evidence_basis,source_ids,source_urls,public_claim,caveat,status,audience_priority,funnel_stage,campaign_pillar,claim_class,claim_risk,go_live_rule,recommended_usage,naming_normalized
MI-035,ARCH,Arquitetura e Design,Progressão,IDEIA,Arquitetura,6,USUÁRIO,Scroll Task: uma ação por vez,"Durante a execução, o usuário percorre uma sequência que enfatiza uma ação por vez.",EVIDÊNCIA INDIRETA,Coerente com redução de elementos simultâneos e prevenção de trocas desnecessárias; não há evidência direta para esta implementação específica.,S13|S14,https://pubmed.ncbi.nlm.nih.gov/12639695/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC6099112/,Pode comunicar “inspirado por princípios de foco e carga cognitiva”.,"Validar usabilidade, sensação de controle e desempenho com usuários reais.",ATIVO,P2 — Knowledge worker sobrecarregado,ACT — Ativação/Produto,P4 — IA com método,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Produto/UX,"Durante a execução, o usuário percorre uma sequência que enfatiza uma ação por vez."
MI-036,ARCH,Arquitetura e Design,Automação de tela,IDEIA,Arquitetura,7,USUÁRIO,Auto-scroll por intervalo,"Opcionalmente, a tela pode avançar automaticamente após 20 ou 30 minutos para apresentar a próxima ação.",HIPÓTESE A VALIDAR,"Lembretes temporais podem apoiar intenções, mas interrupções e mudanças de tarefa também têm custos.",S07|S13|S16,https://pubmed.ncbi.nlm.nih.gov/36201804/ | https://pubmed.ncbi.nlm.nih.gov/12639695/ | https://pubmed.ncbi.nlm.nih.gov/31448938/,Apresentar como recurso configurável/experimental até validação.,Autoavanço pode interromper estado de fluxo; nunca comunicar como cientificamente comprovado.,ATIVO,P2 — Knowledge worker sobrecarregado,ACT — Ativação/Produto,P2 — Próxima ação clara,H — Hipótese de produto,ALTO — não usar como promessa,BLOQUEADO COMO CLAIM — testar,Produto/UX,"Opcionalmente, a tela pode avançar automaticamente após 20 ou 30 minutos para apresentar a próxima ação."
MI-037,ARCH,Arquitetura e Design,Controle do usuário,DECISÃO,Arquitetura,8,SÍNTESE,Auto-scroll deve ser reversível,"Qualquer avanço automático deve permitir pausar, adiar, retornar e desativar para preservar controle e previsibilidade.",EVIDÊNCIA INDIRETA,"ISO 9241-110 inclui controllability, suitability for task e conformity with expectations.",S02,https://www.iso.org/standard/75258.html,Pode ser requisito de design público ou interno.,Especialmente importante para neurodiversidade: não presumir um ritmo universal.,ATIVO,P2 — Knowledge worker sobrecarregado,ACT — Ativação/Produto,P1 — Menos trabalho antes do trabalho,C2 — Princípio orientado por evidência,MÉDIO/ALTO — linguagem não clínica,PERMITIDO COM CAVEAT,Produto/UX,"Qualquer avanço automático deve permitir pausar, adiar, retornar e desativar para preservar controle e previsibilidade."
MI-038,EVID,Evidências e Governança,Política pública,IDEIA,Política de Evidências,1,USUÁRIO,Decisões orientadas por evidências,"Arquitetura, design, quantidade de informação e funcionalidades devem ser justificadas por evidências científicas, princípios ergonômicos ou práticas consolidadas.",GOVERNANÇA,"Combina HCD/ergonomia, literatura cognitiva e gestão de projetos.",S01|S02|S03|S14,https://www.iso.org/standard/77520.html | https://www.iso.org/standard/75258.html | https://www.pmi.org/es-es/brasil/sitecore/content/home/standards/pmbok | https://pmc.ncbi.nlm.nih.gov/articles/PMC6099112/,Pode ser compromisso público.,"Evitar “todas as decisões são cientificamente comprovadas”, pois algumas são aplicações indiretas ou hipóteses.",ATIVO,P2 — Knowledge worker sobrecarregado,GOV — Governança,P5 — Transparência e confiança,GOV — Governança/fonte,BAIXO — uso interno/metodológico,SUPORTE — não é copy principal,Governança/rodapé/metodologia,"Arquitetura, design, quantidade de informação e funcionalidades devem ser justificadas por evidências científicas, princípios ergonômicos ou práticas consolidadas."
MI-039,EVID,Evidências e Governança,Formulação pública,POSICIONAMENTO,Política de Evidências,2,SÍNTESE,Formulação defensável,"As decisões do Executor App são orientadas por evidências científicas, princípios de ergonomia e interação humano-sistema e práticas consolidadas de gestão de projetos e processos. Quando não existe evidência direta para uma implementação específica, sua eficácia é tratada como hipótese de produto e submetida à validação.",GOVERNANÇA,"Formulação separa evidência, prática e hipótese.",S01|S02|S03|S05|S14,https://www.iso.org/standard/77520.html | https://www.iso.org/standard/75258.html | https://www.pmi.org/es-es/brasil/sitecore/content/home/standards/pmbok | https://www.pmi.org/learning/library/practice-standard-work-breakdown-structures-8063 | https://pmc.ncbi.nlm.nih.gov/articles/PMC6099112/,"RECOMENDADO para site, metodologia e materiais institucionais.",Manter versionamento de fontes e registrar estudos internos.,ATIVO,P1 + P2 — Multiprojeto / knowledge worker,GOV — Governança,P5 — Transparência e confiança,GOV — Governança/fonte,BAIXO — uso interno/metodológico,SUPORTE — não é copy principal,Governança/rodapé/metodologia,"As decisões do Executar App são orientadas por evidências científicas, princípios de ergonomia e interação humano-sistema e práticas consolidadas de gestão de projetos e processos. Quando não existe evidência direta para uma implementação específica, sua eficácia é tratada como hipótese de produto e submetida à validação."
MI-040,EVID,Evidências e Governança,Gold standard,IDEIA,Política de Evidências,3,USUÁRIO,Prática consolidada quando evidência direta não existe,Práticas consolidadas de gestão de projetos e processos podem ser usadas quando não existe experimento direto que valide uma interface específica.,PRÁTICA CONSOLIDADA,"PMBOK é standard/practice guidance, não evidência experimental de neurociência.",S03|S04|S05,https://www.pmi.org/es-es/brasil/sitecore/content/home/standards/pmbok | https://www.pmi.org/-/media/pmi/documents/public/pdf/pmbok-standards/pmi-tailoring.pdf?rev=10d5c35b229d458580524efc55efc056 | https://www.pmi.org/learning/library/practice-standard-work-breakdown-structures-8063,Pode comunicar “baseado em práticas consolidadas de gestão”.,Não chamar PMBOK de evidência científica.,ATIVO,P1 + P2 — Multiprojeto / knowledge worker,GOV — Governança,P5 — Transparência e confiança,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Governança/rodapé/metodologia,Práticas consolidadas de gestão de projetos e processos podem ser usadas quando não existe experimento direto que valide uma interface específica.
MI-041,EVID,Evidências e Governança,Classificação,DECISÃO,Política de Evidências,4,SÍNTESE,Quatro níveis de sustentação,Classificar publicamente ou internamente decisões como: evidência direta; evidência indireta; prática consolidada; hipótese a validar.,GOVERNANÇA,,,,Fortemente recomendado para auditabilidade.,Evita overclaim e facilita atualização científica.,ATIVO,P2 — Knowledge worker sobrecarregado,GOV — Governança,P5 — Transparência e confiança,GOV — Governança/fonte,BAIXO — uso interno/metodológico,SUPORTE — não é copy principal,Governança/rodapé/metodologia,Classificar publicamente ou internamente decisões como: evidência direta; evidência indireta; prática consolidada; hipótese a validar.
MI-042,EVID,Evidências e Governança,Neurodivergência,DECISÃO,Política de Evidências,5,SÍNTESE,Evitar generalização clínica,"Comunicação deve reconhecer heterogeneidade: funções executivas e necessidades variam entre pessoas com ADHD, autismo e outras neurodivergências.",EVIDÊNCIA DIRETA,"Meta-análises encontram diferenças de grupo, mas não universalidade de déficits em todos os indivíduos.",S09|S11|S19,https://pubmed.ncbi.nlm.nih.gov/15950006/ | https://pubmed.ncbi.nlm.nih.gov/38104788/ | https://pubmed.ncbi.nlm.nih.gov/16116936/,Recomendado como princípio ético e científico de comunicação.,Evitar “o neurodivergente” como perfil cognitivo único.,ATIVO,P1 — Profissional neurodivergente multiprojeto,GOV — Governança,P5 — Transparência e confiança,C2 — Princípio orientado por evidência,MÉDIO/ALTO — linguagem não clínica,PERMITIDO COM CAVEAT,Governança/rodapé/metodologia,"Comunicação deve reconhecer heterogeneidade: funções executivas e necessidades variam entre pessoas com ADHD, autismo e outras neurodivergências."
MI-043,EVID,Evidências e Governança,Cognitive offloading,DECISÃO,Política de Evidências,6,SÍNTESE,Benefícios e limites do offloading,"Externalizar intenções pode melhorar desempenho de memória prospectiva, mas suporte externo também pode alterar estratégias internas e criar dependência do lembrete.",EVIDÊNCIA DIRETA,Revisões/experimentos mostram benefícios e possíveis custos quando lembretes são retirados.,S06|S07|S17,https://pmc.ncbi.nlm.nih.gov/articles/PMC9971128/ | https://pubmed.ncbi.nlm.nih.gov/36201804/ | https://pubmed.ncbi.nlm.nih.gov/42241083/,Usar para justificar suporte externo com redundância e transparência.,"Projetar exportação, recuperação e continuidade se a automação falhar.",ATIVO,P2 — Knowledge worker sobrecarregado,GOV — Governança,P5 — Transparência e confiança,C2 — Princípio orientado por evidência,BAIXO,PERMITIDO,Governança/rodapé/metodologia,"Externalizar intenções pode melhorar desempenho de memória prospectiva, mas suporte externo também pode alterar estratégias internas e criar dependência do lembrete."
MI-044,DIFF,Diferenciação,Mercado,IDEIA,Diferenciação,1,USUÁRIO,Não é produtividade estética,O Executor App não existe para otimizar a organização visual do trabalho como fim em si; organização é subordinada à execução.,POSICIONAMENTO,,,,Pode ser usado em manifesto/campanha.,Evitar ataque genérico a todos os apps de produtividade.,ATIVO,P2 — Knowledge worker sobrecarregado,MOFU — Consideração,P2 — Próxima ação clara,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,O Executar App não existe para otimizar a organização visual do trabalho como fim em si; organização é subordinada à execução.
MI-045,DIFF,Diferenciação,Mercado,IDEIA,Diferenciação,2,USUÁRIO,Sistema metodológico de execução,"O produto deve ser apresentado como sistema metodológico de execução, não como coleção de features.",POSICIONAMENTO,,,,Claim central recomendado.,A metodologia precisa estar documentada para sustentar essa posição.,ATIVO,P2 — Knowledge worker sobrecarregado,MOFU — Consideração,P2 — Próxima ação clara,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,"O produto deve ser apresentado como sistema metodológico de execução, não como coleção de features."
MI-046,DIFF,Diferenciação,Concorrência IA,IDEIA,Diferenciação,3,USUÁRIO,IA que estrutura sem método é insuficiente,"Gerar uma lista ou decomposição plausível não é o mesmo que organizar trabalho segundo critérios explícitos de escopo, entregáveis, prioridade e carga cognitiva.",POSICIONAMENTO,Sustentação conceitual por PMI e literatura cognitiva.,S05|S14,https://www.pmi.org/learning/library/practice-standard-work-breakdown-structures-8063 | https://pmc.ncbi.nlm.nih.gov/articles/PMC6099112/,Pode ser usado sem nomear concorrentes.,Evitar afirmar inexistência de metodologia em produtos específicos sem auditoria.,ATIVO,P2 — Knowledge worker sobrecarregado,MOFU — Consideração,P4 — IA com método,C0 — Posicionamento/linguagem,MÉDIO/ALTO — linguagem não clínica,PERMITIDO COM CAVEAT,Brand/produto/marketing,"Gerar uma lista ou decomposição plausível não é o mesmo que organizar trabalho segundo critérios explícitos de escopo, entregáveis, prioridade e carga cognitiva."
MI-047,DIFF,Diferenciação,Hiperpersonalização,IDEIA,Diferenciação,4,USUÁRIO,Contra a hiperpersonalização,O produto reduz opções estruturais quando elas não agregam à execução e oferece padrões prontos por default.,EVIDÊNCIA INDIRETA,"Choice overload depende de complexidade, dificuldade e incerteza; ISO favorece adequação à tarefa.",S02|S15,https://www.iso.org/standard/75258.html | https://www.sciencedirect.com/science/article/pii/S1057740814000916,Pode comunicar como filosofia de produto.,Não dizer que personalização é intrinsecamente ruim.,ATIVO,P2 — Knowledge worker sobrecarregado,MOFU — Consideração,P2 — Próxima ação clara,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Brand/produto/marketing,O produto reduz opções estruturais quando elas não agregam à execução e oferece padrões prontos por default.
MI-048,POS,Posicionamento Gerado,Brand platform,POSICIONAMENTO,Posicionamento Mestre,1,TEXTO GERADO,Categoria,Executor App é um sistema metodológico de execução e gestão de projetos para pessoas que não querem gastar sua energia administrando o próprio sistema de produtividade.,POSICIONAMENTO,,,,Pronto para uso editorial.,Ajustar registro de marca e validação jurídica de claims comparativos.,ATIVO,P1 + P2 — Multiprojeto / knowledge worker,TOFU — Awareness,P4 — IA com método,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,Executar App é um sistema metodológico de execução e gestão de projetos para pessoas que não querem gastar sua energia administrando o próprio sistema de produtividade.
MI-049,POS,Posicionamento Gerado,Brand platform,POSICIONAMENTO,Posicionamento Mestre,2,TEXTO GERADO,One-liner,Menos tempo organizando o trabalho. Mais capacidade para executá-lo.,POSICIONAMENTO,,,,Pronto para uso editorial.,Ajustar registro de marca e validação jurídica de claims comparativos.,ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P1 — Menos trabalho antes do trabalho,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,Menos tempo organizando o trabalho. Mais capacidade para executá-lo.
MI-050,POS,Posicionamento Gerado,Brand platform,POSICIONAMENTO,Posicionamento Mestre,3,TEXTO GERADO,Provocação,O aplicativo de produtividade desenhado para você sair dele.,POSICIONAMENTO,,,,Pronto para uso editorial.,Ajustar registro de marca e validação jurídica de claims comparativos.,ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P2 — Próxima ação clara,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,O aplicativo de produtividade desenhado para você sair dele.
MI-051,POS,Posicionamento Gerado,Brand platform,POSICIONAMENTO,Posicionamento Mestre,4,TEXTO GERADO,Promessa,"O Executor organiza, decompõe, prioriza e mantém o contexto para que você encontre o próximo passo e execute.",POSICIONAMENTO,,,,Pronto para uso editorial.,Ajustar registro de marca e validação jurídica de claims comparativos.,ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P4 — IA com método,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,"O Executar organiza, decompõe, prioriza e mantém o contexto para que você encontre o próximo passo e execute."
MI-052,POS,Posicionamento Gerado,Brand platform,POSICIONAMENTO,Posicionamento Mestre,5,TEXTO GERADO,Diferencial,"IA orientada por metodologia: gestão de projetos e processos, design cognitivo e estrutura de execução em uma única camada.",POSICIONAMENTO,,,,Pronto para uso editorial.,Ajustar registro de marca e validação jurídica de claims comparativos.,ATIVO,P1 + P2 — Multiprojeto / knowledge worker,TOFU — Awareness,P5 — Transparência e confiança,C0 — Posicionamento/linguagem,MÉDIO/ALTO — linguagem não clínica,PERMITIDO COM CAVEAT,Brand/produto/marketing,"IA orientada por metodologia: gestão de projetos e processos, design cognitivo e estrutura de execução em uma única camada."
MI-053,POS,Posicionamento Gerado,Brand platform,POSICIONAMENTO,Posicionamento Mestre,6,TEXTO GERADO,Neurodivergência,"Desenhado considerando demandas de funções executivas e a heterogeneidade de usuários neurodivergentes, sem exigir que cada pessoa construa do zero o próprio sistema.",POSICIONAMENTO,,,,Pronto para uso editorial.,Ajustar registro de marca e validação jurídica de claims comparativos.,ATIVO,P1 — Profissional neurodivergente multiprojeto,TOFU — Awareness,P4 — IA com método,C0 — Posicionamento/linguagem,MÉDIO/ALTO — linguagem não clínica,PERMITIDO COM CAVEAT,Brand/produto/marketing,"Desenhado considerando demandas de funções executivas e a heterogeneidade de usuários neurodivergentes, sem exigir que cada pessoa construa do zero o próprio sistema."
MI-054,POS,Posicionamento Gerado,Brand platform,POSICIONAMENTO,Posicionamento Mestre,7,TEXTO GERADO,Metodologia pública,"Não escondemos a lógica do produto: mostramos os princípios, as evidências, as práticas consolidadas e o que ainda está em validação.",POSICIONAMENTO,,,,Pronto para uso editorial.,Ajustar registro de marca e validação jurídica de claims comparativos.,ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P5 — Transparência e confiança,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,"Não escondemos a lógica do produto: mostramos os princípios, as evidências, as práticas consolidadas e o que ainda está em validação."
MI-055,POS,Posicionamento Gerado,Brand platform,POSICIONAMENTO,Posicionamento Mestre,8,TEXTO GERADO,Frase curta,Organizar é função do sistema. Executar é função sua.,POSICIONAMENTO,,,,Pronto para uso editorial.,Ajustar registro de marca e validação jurídica de claims comparativos.,ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P1 — Menos trabalho antes do trabalho,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,Organizar é função do sistema. Executar é função sua.
MI-056,MANI,Manifesto,Manifesto institucional,MANIFESTO,Manifesto Mestre,1,TEXTO GERADO,Parágrafo 1,Produtividade não deveria exigir um segundo trabalho: administrar o sistema que deveria ajudar você a trabalhar.,COPY/INSTITUCIONAL,,,,Pronto para edição final de voz da marca.,"Manter distinção entre evidência, prática e hipótese nos materiais técnicos.",ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P4 — IA com método,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,Produtividade não deveria exigir um segundo trabalho: administrar o sistema que deveria ajudar você a trabalhar.
MI-057,MANI,Manifesto,Manifesto institucional,MANIFESTO,Manifesto Mestre,2,TEXTO GERADO,Parágrafo 2,"Muitas ferramentas começam pedindo que você escolha estruturas, configure campos, organize listas, revise prioridades e reconstrua contexto. O Executor App começa em outro lugar: no que precisa ser feito.",COPY/INSTITUCIONAL,,,,Pronto para edição final de voz da marca.,"Manter distinção entre evidência, prática e hipótese nos materiais técnicos.",ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P3 — Contexto preservado,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,"Muitas ferramentas começam pedindo que você escolha estruturas, configure campos, organize listas, revise prioridades e reconstrua contexto. O Executar App começa em outro lugar: no que precisa ser feito."
MI-058,MANI,Manifesto,Manifesto institucional,MANIFESTO,Manifesto Mestre,3,TEXTO GERADO,Parágrafo 3,"Nós partimos de uma premissa simples: atenção, memória de trabalho e capacidade de decisão são recursos limitados. Se o sistema exige esses recursos antes da execução, ele compete com o próprio trabalho.",COPY/INSTITUCIONAL,,,,Pronto para edição final de voz da marca.,"Manter distinção entre evidência, prática e hipótese nos materiais técnicos.",ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P4 — IA com método,C0 — Posicionamento/linguagem,MÉDIO/ALTO — linguagem não clínica,PERMITIDO COM CAVEAT,Brand/produto/marketing,"Nós partimos de uma premissa simples: atenção, memória de trabalho e capacidade de decisão são recursos limitados. Se o sistema exige esses recursos antes da execução, ele compete com o próprio trabalho."
MI-059,MANI,Manifesto,Manifesto institucional,MANIFESTO,Manifesto Mestre,4,TEXTO GERADO,Parágrafo 4,"Por isso, o Executor foi desenhado para assumir parte da estruturação. Projetos viram entregáveis. Entregáveis viram workflows. Workflows viram tarefas. Tarefas viram ações claras.",COPY/INSTITUCIONAL,,,,Pronto para edição final de voz da marca.,"Manter distinção entre evidência, prática e hipótese nos materiais técnicos.",ATIVO,P1 + P2 — Multiprojeto / knowledge worker,TOFU — Awareness,P4 — IA com método,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,"Por isso, o Executar foi desenhado para assumir parte da estruturação. Projetos viram entregáveis. Entregáveis viram workflows. Workflows viram tarefas. Tarefas viram ações claras."
MI-060,MANI,Manifesto,Manifesto institucional,MANIFESTO,Manifesto Mestre,5,TEXTO GERADO,Parágrafo 5,"A IA não está aqui apenas para gerar texto ou listas. Ela aplica critérios de gestão de projetos e processos para decompor, organizar, priorizar e preservar contexto.",COPY/INSTITUCIONAL,,,,Pronto para edição final de voz da marca.,"Manter distinção entre evidência, prática e hipótese nos materiais técnicos.",ATIVO,P1 + P2 — Multiprojeto / knowledge worker,TOFU — Awareness,P4 — IA com método,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,"A IA não está aqui apenas para gerar texto ou listas. Ela aplica critérios de gestão de projetos e processos para decompor, organizar, priorizar e preservar contexto."
MI-061,MANI,Manifesto,Manifesto institucional,MANIFESTO,Manifesto Mestre,6,TEXTO GERADO,Parágrafo 6,O usuário não deveria precisar recapitular todo o projeto para descobrir o próximo passo. O sistema deve manter essa continuidade por ele.,COPY/INSTITUCIONAL,,,,Pronto para edição final de voz da marca.,"Manter distinção entre evidência, prática e hipótese nos materiais técnicos.",ATIVO,P1 + P2 — Multiprojeto / knowledge worker,TOFU — Awareness,P4 — IA com método,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,O usuário não deveria precisar recapitular todo o projeto para descobrir o próximo passo. O sistema deve manter essa continuidade por ele.
MI-062,MANI,Manifesto,Manifesto institucional,MANIFESTO,Manifesto Mestre,7,TEXTO GERADO,Parágrafo 7,Isso também muda a interface. Menos escolhas sem consequência. Menos informação simultânea. Menos trocas de contexto. Linguagem orientada à ação. O trabalho aparece no nível necessário para executar agora.,COPY/INSTITUCIONAL,,,,Pronto para edição final de voz da marca.,"Manter distinção entre evidência, prática e hipótese nos materiais técnicos.",ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P3 — Contexto preservado,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,Isso também muda a interface. Menos escolhas sem consequência. Menos informação simultânea. Menos trocas de contexto. Linguagem orientada à ação. O trabalho aparece no nível necessário para executar agora.
MI-063,MANI,Manifesto,Manifesto institucional,MANIFESTO,Manifesto Mestre,8,TEXTO GERADO,Parágrafo 8,"O Executor foi pensado considerando demandas cognitivas e operacionais que podem ser especialmente relevantes para pessoas neurodivergentes, reconhecendo que não existe um único perfil neurodivergente.",COPY/INSTITUCIONAL,,,,Pronto para edição final de voz da marca.,"Manter distinção entre evidência, prática e hipótese nos materiais técnicos.",ATIVO,P1 — Profissional neurodivergente multiprojeto,TOFU — Awareness,P1 — Menos trabalho antes do trabalho,C0 — Posicionamento/linguagem,MÉDIO/ALTO — linguagem não clínica,PERMITIDO COM CAVEAT,Brand/produto/marketing,"O Executar foi pensado considerando demandas cognitivas e operacionais que podem ser especialmente relevantes para pessoas neurodivergentes, reconhecendo que não existe um único perfil neurodivergente."
MI-064,MANI,Manifesto,Manifesto institucional,MANIFESTO,Manifesto Mestre,9,TEXTO GERADO,Parágrafo 9,"Nossa metodologia é pública porque ela faz parte do produto. Explicamos por que uma funcionalidade existe, qual princípio aplica e qual evidência ou prática sustenta a decisão.",COPY/INSTITUCIONAL,,,,Pronto para edição final de voz da marca.,"Manter distinção entre evidência, prática e hipótese nos materiais técnicos.",ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P5 — Transparência e confiança,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,"Nossa metodologia é pública porque ela faz parte do produto. Explicamos por que uma funcionalidade existe, qual princípio aplica e qual evidência ou prática sustenta a decisão."
MI-065,MANI,Manifesto,Manifesto institucional,MANIFESTO,Manifesto Mestre,10,TEXTO GERADO,Parágrafo 10,"Quando há evidência científica direta, nós a usamos. Quando há prática consolidada de gestão, nós a identificamos como prática. Quando uma implementação ainda é hipótese, nós a tratamos como hipótese e a validamos.",COPY/INSTITUCIONAL,,,,Pronto para edição final de voz da marca.,"Manter distinção entre evidência, prática e hipótese nos materiais técnicos.",ATIVO,P1 + P2 — Multiprojeto / knowledge worker,TOFU — Awareness,P5 — Transparência e confiança,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,"Quando há evidência científica direta, nós a usamos. Quando há prática consolidada de gestão, nós a identificamos como prática. Quando uma implementação ainda é hipótese, nós a tratamos como hipótese e a validamos."
MI-066,MANI,Manifesto,Manifesto institucional,MANIFESTO,Manifesto Mestre,11,TEXTO GERADO,Parágrafo 11,Não queremos que você fique melhor em organizar um aplicativo. Queremos que o aplicativo reduza o trabalho de organização necessário para você executar.,COPY/INSTITUCIONAL,,,,Pronto para edição final de voz da marca.,"Manter distinção entre evidência, prática e hipótese nos materiais técnicos.",ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P2 — Próxima ação clara,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,Não queremos que você fique melhor em organizar um aplicativo. Queremos que o aplicativo reduza o trabalho de organização necessário para você executar.
MI-067,MANI,Manifesto,Manifesto institucional,MANIFESTO,Manifesto Mestre,12,TEXTO GERADO,Parágrafo 12,Executor App. Organizar é função do sistema. Executar é função sua.,COPY/INSTITUCIONAL,,,,Pronto para edição final de voz da marca.,"Manter distinção entre evidência, prática e hipótese nos materiais técnicos.",ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P1 — Menos trabalho antes do trabalho,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,Executar App. Organizar é função do sistema. Executar é função sua.
MI-068,COPY,Copy,Campanha e Produto,COPY,Biblioteca de Copy,1,TEXTO GERADO,Headline hero,O aplicativo desenhado para você sair dele.,COPY,,,,Pronto para testes A/B.,Claims de ciência/metodologia devem apontar para página de evidências.,ATIVO,P2 — Knowledge worker sobrecarregado,TOFU/MOFU — Aquisição,P1 — Menos trabalho antes do trabalho,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Ads/site/CRM/UX,O aplicativo desenhado para você sair dele.
MI-069,COPY,Copy,Campanha e Produto,COPY,Biblioteca de Copy,2,TEXTO GERADO,Subheadline hero,"O Executor App organiza, prioriza e mantém o contexto para reduzir o trabalho antes do trabalho.",COPY,,,,Pronto para testes A/B.,Claims de ciência/metodologia devem apontar para página de evidências.,ATIVO,P2 — Knowledge worker sobrecarregado,TOFU/MOFU — Aquisição,P4 — IA com método,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Ads/site/CRM/UX,"O Executar App organiza, prioriza e mantém o contexto para reduzir o trabalho antes do trabalho."
MI-070,COPY,Copy,Campanha e Produto,COPY,Biblioteca de Copy,3,TEXTO GERADO,Headline alternativa,Menos tempo gerenciando tarefas. Mais tempo executando.,COPY,,,,Pronto para testes A/B.,Claims de ciência/metodologia devem apontar para página de evidências.,ATIVO,P2 — Knowledge worker sobrecarregado,TOFU/MOFU — Aquisição,P1 — Menos trabalho antes do trabalho,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Ads/site/CRM/UX,Menos tempo gerenciando tarefas. Mais tempo executando.
MI-071,COPY,Copy,Campanha e Produto,COPY,Biblioteca de Copy,4,TEXTO GERADO,Headline categoria,Produtividade organiza. Executor executa.,COPY,,,,Pronto para testes A/B.,Claims de ciência/metodologia devem apontar para página de evidências.,ATIVO,P2 — Knowledge worker sobrecarregado,TOFU/MOFU — Aquisição,P4 — IA com método,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Ads/site/CRM/UX,Produtividade organiza. Executar executa.
MI-072,COPY,Copy,Campanha e Produto,COPY,Biblioteca de Copy,5,TEXTO GERADO,Headline cognitiva,Sua memória de trabalho não deveria ser seu gerenciador de projetos.,COPY,,,,Pronto para testes A/B.,Claims de ciência/metodologia devem apontar para página de evidências.,ATIVO,P1 + P2 — Multiprojeto / knowledge worker,TOFU/MOFU — Aquisição,P4 — IA com método,C0 — Posicionamento/linguagem,MÉDIO/ALTO — linguagem não clínica,PERMITIDO COM CAVEAT,Ads/site/CRM/UX,Sua memória de trabalho não deveria ser seu gerenciador de projetos.
MI-073,COPY,Copy,Campanha e Produto,COPY,Biblioteca de Copy,6,TEXTO GERADO,Headline metodologia,IA sem método gera listas. Executor gera estrutura de execução.,COPY,,,,Pronto para testes A/B.,Claims de ciência/metodologia devem apontar para página de evidências.,ATIVO,P2 — Knowledge worker sobrecarregado,TOFU/MOFU — Aquisição,P5 — Transparência e confiança,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Ads/site/CRM/UX,IA sem método gera listas. Executar gera estrutura de execução.
